prefix,bits,organization,registry
000224,24,C-COR,MA-L
000225,24,One Stop Systems,MA-L
000226,24,"XESystems, Inc.",MA-L
000227,24,ESD Electronic System Design GmbH,MA-L
000228,24,"Necsom, Ltd.",MA-L
000229,24,Adtec Corporation,MA-L
00022A,24,Asound Electronic,MA-L
00022B,24,"SAXA, Inc.",MA-L
00022C,24,"ABB Bomem, Inc.",MA-L
00022D,24,Agere Systems,MA-L
00022E,24,TEAC Corp. R& D,MA-L
00022F,24,"P-Cube, Ltd.",MA-L
000230,24,Intersoft Electronics,MA-L
000231,24,Ingersoll-Rand,MA-L
000232,24,"Avision, Inc.",MA-L
000233,24,"Mantra Communications, Inc.",MA-L
000234,24,"Imperial Technology, Inc.",MA-L
000235,24,Paragon Networks International,MA-L
000236,24,INIT GmbH,MA-L
000237,24,Cosmo Research Corp.,MA-L
000238,24,"Serome Technology, Inc.",MA-L
000239,24,Visicom,MA-L
00023A,24,ZSK Stickmaschinen GmbH,MA-L
00023B,24,Ericsson,MA-L
00023C,24,"Creative Technology, Ltd.",MA-L
00023D,24,"Cisco Systems, Inc",MA-L
00023E,24,Selta Telematica S.p.a,MA-L
00023F,24,Compal Electronics INC.,MA-L
000240,24,"Seedek Co., Ltd.",MA-L
000241,24,Amer.com,MA-L
